Finding,Frequency in MEDQUA-USMLE-Symp,Gold Low Term,Gold High Term,Low value Boundary,Low value Female Boundary,High value Boundary,High value Female Boundary,Unit,Sources
Blood pressure,141,Hypotension,Hypertension,90/60,,120/80,,mm Hg,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Temperature,131,Hypothermia,Fever,36.5,,37.3,,°C,https://medlineplus.gov/ency/article/002341.htm
Pulse,131,Bradycardia,Tachycardia,60,,100,,beats per minute,https://emedicine.medscape.com/article/2172316-overview
Respirations,86,Bradypnea,Tachypnea,12,,18,,breaths per minute,
Erythrocyte sedimentation rate,77,-,Increased / Inflammation,0,0,15,20,mm/hour,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Hemoglobin,41,Anemia,Polycythemia,14,12,17,16,g/dL,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Oxygen saturation,41,Hypoxemia,Hyperoxia,85,,–,,%,https://www.msdmanuals.com/professional/SearchResults?query=Oxygen+saturation&page=1
Leukocyte count,40,Leukopenia,Leukocytosis,5000,,10000,,mm3,"https://emedicine.medscape.com/article/2054452-overview#:~:text=The%20reference%20range%20for%20adults,)%20%2D%205000%2D10%2C000%2Fmm&text=Total%20leukocytes%20(children%20aged%202,)%20%2D%206200%2D17%2C000%2Fmm"
Platelet count,37,Thrombocytopenia,Thrombocytosis,150,,350,,10^3/mcL,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Weight,27,Underweight,Overweight,,,,,,
Heart rate,25,Bradycardia,Tachycardia,60,,100,,bmp,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Ureal level,20,Hypoureaemia,Hyperazotemia,0,,2,,ng/mL,
Prothrombin time,8,Decreased prothrombin time,Prolonged prothrombin time,11,,13,,seconds,
Gravidity (number of pregnancies),16,Nulliparous,Multiparous,0,,1,,,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Glucose (Glu),16,Hypoglycemia,Hyperglycemia,70,,140,,mg/dL,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Creatinine (Cr),15,Hypocreatinemia,Hypercreatininemia,0.7,0.5,1.2,1,mg/dL,https://ltd.aruplab.com/Tests/Pub/0099592
Anti Jo-1,14,Negative,Indeterminate/Borderline,29,,30-40,,AU/mL,
Height percentile,14,Extremely short stature,Very tall,5,,95,,percentile,https://www.msdmanuals.com/professional/SearchResults?query=Hearing+in+the+left+ear&page=1
Hearing in the left ear,13,-,Hearing loss,-10,,–,,dB,https://www.msdmanuals.com/professional/SearchResults?query=BMI
