Finding,Frequency in MEDQUA-USMLE-Symp,Gold Low Term,Gold High Term,Low value Boundary,Low value Female Boundary,High value Boundary,High value Female Boundary,Unit,Low HPO Code,High HPO Code,Low Snomed Code,High Snomed Code,Low ICD 11 Code,High ICD 11 Code,Sources
Blood pressure,141,Hypotension,Hypertension,90/60,,120/80,,mm Hg,HP:0002615,HP:0000822,45007003,38341003,BA2Z,BA00,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Temperature,131,Hypothermia,Fever,36.5,,37.3,,°C,HP:0002045,HP:0001945,386689009,386661006,NF02,MG26,https://medlineplus.gov/ency/article/002341.htm
Pulse,131,Bradycardia,Tachycardia,60,,100,,beats per minute,HP:0001662,HP:0001649,48867003,3424008,MC81.1,MC81.0,https://emedicine.medscape.com/article/2172316-overview
Respirations,86,Bradypnea,Tachypnea,12,,18,,breaths per minute,HP:0046507,HP:0002789,86684002,271823003,MD11.Y,MD11.Y,
Erythrocyte sedimentation rate,77,-,Increased / Inflammation,0,0,15,20,mm/hour,HP:0025022,HP:0003565,165466008,165468009,,MA1A.0,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Hemoglobin,41,Anemia,Polycythemia,14,12,17,16,g/dL,HP:0001903,HP:0001901,271737000,109992005,3A9Z,3A8Z,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Oxygen saturation,41,Hypoxemia,Hyperoxia,85,,–,,%,HP:0012418,HP:0012419,389087006,238158000,MD11.1,,https://www.msdmanuals.com/professional/SearchResults?query=Oxygen+saturation&page=1
Leukocyte count,40,Leukopenia,Leukocytosis,5000,,10000,,mm3,HP:0001882,HP:0001974,84828003,111583006,MA16.10,MA16.11,"https://emedicine.medscape.com/article/2054452-overview#:~:text=The%20reference%20range%20for%20adults,)%20%2D%205000%2D10%2C000%2Fmm&text=Total%20leukocytes%20(children%20aged%202,)%20%2D%206200%2D17%2C000%2Fmm"
Platelet count,37,Thrombocytopenia,Thrombocytosis,150,,350,,10^3/mcL,HP:0001873,HP:0001894,302215000,6631009,3B64,3B63,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Weight,27,Underweight,Overweight,,,,,,HP:0004325,HP:0025502,248342006,238131007,VV40,5B80.0,
Heart rate,25,Bradycardia,Tachycardia,60,,100,,bmp,HP:0001662,HP:0001649,48867003,3424008,MC81.1,MC81.0,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Ureal level,20,Hypoureaemia,Hyperazotemia,0,,2,,ng/mL,,,,,,,
Prothrombin time,8,Decreased prothrombin time,Prolonged prothrombin time,11,,13,,seconds,HP:0032198,HP:0008151,165569003,409674002,,,
Gravidity (number of pregnancies),16,Nulliparous,Multiparous,0,,1,,,,,,,,,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Glucose (Glu),16,Hypoglycemia,Hyperglycemia,70,,140,,mg/dL,HP:0001943,HP:0003074,302866003,80394007,5A41,MA18.0,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Creatinine (Cr),15,Hypocreatinemia,Hypercreatininemia,0.7,0.5,1.2,1,mg/dL,HP:0012101,HP:0003259,166715006,166717003,,,https://ltd.aruplab.com/Tests/Pub/0099592
Anti Jo-1,14,Negative,Indeterminate/Borderline,29,,30-40,,AU/mL,,,,,,,
Height percentile,14,Extremely short stature,Very tall,5,,95,,percentile,HP:0004322,,,,,,https://www.msdmanuals.com/professional/SearchResults?query=Hearing+in+the+left+ear&page=1
Hearing in the left ear,13,-,Hearing loss,-10,,–,,dB,,,,,,,https://www.msdmanuals.com/professional/SearchResults?query=BMI
BMI,12,Underweight,Overweight,18.5,,24.9,,,HP:0045082,HP:0031418,459211000124108,162863004,XS11,XS7R,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Parathyroid hormone level,10,Hypoparathyroidism,Hyperparathyroidism,10,,65,,pg/mL,HP:0000829,HP:0000843,36976004,66999008,5A50,5A51,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Hematocrit,9,Decreased hematocrit,Increased hematocrit,41,36,51,47,%,HP:0031851,HP:0001899,165414004,165413005,,,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Total serum protein,9,Hypoproteinemia,Hyperproteinemia,6,,7.8,,g/dL,HP:0003075,HP:0002152,8900005,37064009,5C56.2Y,5D0Y,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Total bilirubin,9,Hypobilirubinemia,Hyperbilirubinemia,0.3,,1.2,,mg/dL,HP:0033480,HP:0002904,124078008,14783006,,3A21.Y,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Aspartate amino-transferase (AST),9,Lower than normal range,Higher than normal range,0,,35,,U/L,,,,166669000,,,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Muscle mass,3,Amyotrophy,-,0,,5,,,HP:0003202,,88092000,,8C7Y,,https://www.msdmanuals.com/professional/SearchResults?query=Muscle+strength
Leukocyte esterase,1,Negative,Positive,0,,0.001,,Units,,,,,,,
Urine Protein,1,-,Abnormal,–,,100,,mg/24 hours,,,,,,,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/urine-tests-normal-values
HIV,1,Negative,Positive,,,,,,,,,,,,https://www.msdmanuals.com/professional/infectious-diseases/human-immunodeficiency-virus-hiv/human-immunodeficiency-virus-hiv-infection?query=hiv%20antibody%20test%20results
Fecal occult blood,1,Negative,Positive,,,,,,,,167667006,,,ME24.A6,https://www.msdmanuals.com/professional/gastrointestinal-disorders/tumors-of-the-gastrointestinal-tract/colorectal-cancer?query=Fecal%20occult%20blood
Head circumference percentile,1,Microcephaly,Macrocephaly,2,,98,,percentile,,,,,,,https://www.msdmanuals.com/professional/SearchResults?query=Head+circumference+percentile#
Vision,1,-,Reduced visual acuity,,,,,,,HP:0007663,,13164000,,,https://www.msdmanuals.com/professional/SearchResults?query=visual+acuity&page=1
Free T4,1,Hypothyroidism,Hyperthyroidism,0.9,,2.4,,ng/dL,HP:0000821,HP:0000836,40930008,34486009,5A00,5A02.Z,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Liver palpation,1,-,Hepatomegaly,7.5,4,13.5,10,cm,,HP:0002240,,80515008,,ME10.0,"https://www.ncbi.nlm.nih.gov/books/NBK421/#:~:text=By%20percussion%2C%20the%20mean%20liver,g%20in%20the%20adult%20man."
C-peptide level,1,increased,decreased,0.9,,4.3,,ng/mL,HP:0030796,HP:0030795,,,,,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Abduction,1,Hypoabduction,-,,,,,,,,,,,,
