Finding,LOINC Code,Frequency in MEDQUA-USMLE-Symp,Gold Low Term,Gold High Term,Low value Boundary,Low value Female Boundary,High value Boundary,High value Female Boundary,Unit,Low HPO Code,High HPO Code,Low Snomed Code,High Snomed Code,Low ICD 11 Code,High ICD 11 Code,Sources
Blood pressure,96609-3,141,Hypotension,Hypertension,90/60,,120/80,,mm Hg,HP:0002615,HP:0000822,45007003,38341003,BA2Z,BA00,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Temperature,8310-5,131,Hypothermia,Fever,36.5,,37.3,,°C,HP:0002045,HP:0001945,386689009,386661006,NF02,MG26,https://medlineplus.gov/ency/article/002341.htm
Pulse,20081-6,131,Bradycardia,Tachycardia,60,,100,,beats per minute,HP:0001662,HP:0001649,48867003,3424008,MC81.1,MC81.0,https://emedicine.medscape.com/article/2172316-overview
Respirations,9275-9,86,Bradypnea,Tachypnea,12,,18,,breaths per minute,HP:0046507,HP:0002789,86684002,271823003,MD11.Y,MD11.Y,
Erythrocyte sedimentation rate,30341-2,77,-,Increased / Inflammation,0,0,15,20,mm/hour,HP:0025022,HP:0003565,165466008,165468009,,MA1A.0,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Hemoglobin,4548-4,41,Anemia,Polycythemia,14,12,17,16,g/dL,HP:0001903,HP:0001901,271737000,109992005,3A9Z,3A8Z,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Oxygen saturation,73804-7,41,Hypoxemia,Hyperoxia,85,,–,,%,HP:0012418,HP:0012419,389087006,238158000,MD11.1,,https://www.msdmanuals.com/professional/SearchResults?query=Oxygen+saturation&page=1
Leukocyte count,33768-3,40,Leukopenia,Leukocytosis,5000,,10000,,mm3,HP:0001882,HP:0001974,84828003,111583006,MA16.10,MA16.11,"https://emedicine.medscape.com/article/2054452-overview#:~:text=The%20reference%20range%20for%20adults,)%20%2D%205000%2D10%2C000%2Fmm&text=Total%20leukocytes%20(children%20aged%202,)%20%2D%206200%2D17%2C000%2Fmm"
Platelet count,74775-8,37,Thrombocytopenia,Thrombocytosis,150,,350,,10^3/mcL,HP:0001873,HP:0001894,302215000,6631009,3B64,3B63,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Weight,50064-5,27,Underweight,Overweight,,,,,,HP:0004325,HP:0025502,248342006,238131007,VV40,5B80.0,
